instances,BFS,Dijkstra,Astar
10,0,335.7307,20.2556
20,0.00265,0.00924,0.00447
30,0.004245,0.00713,0.009145
40,0.00357,0.16744,0.00671
50,0.012075,0.014125,0.01182
60,0.020365,0.026485,0.02078
70,0.047785,0.04033,0.030085
80,0.095735,0.060855,0.058595
90,0.03374,0.06715,0.044265
100,0.170505,0.090495,0.020635
110,0.075935,0.08111,0.01458
120,0.239625,0.11994,0.056295
130,0.35283,0.15708,0.0564
140,0.45468,0.18382,0.035185
150,0.235935,0.10343,0.058095
160,0.699675,0.23076,0.05977
170,0.69122,0.186385,0.049315
180,0.51245,0.23554,0.06437
190,1.04039,0.47081,0.04466
200,0.448125,0.171455,0.049095
210,0.092075,0.303245,0.0488
220,0.902585,0.67896,0.04168
230,0.591025,0.373975,0.02757
240,2.928065,0.29381,0.05232
250,2.246465,0.57109,0.063245
260,0.516995,0.673875,0.071045
270,1.5468,0.59817,0.070345
280,1.011185,0.760125,0.052645
290,2.618035,0.741105,0.09992
300,4.272925,0.70529,0.084935
310,3.87384,0.786745,0.034975
320,3.215025,1.043905,0.07923
330,5.080075,1.01063,0.09208
340,2.791855,0.988325,0.105445
350,1.988875,0.76645,0.185385
360,3.27027,1.439925,0.08747
370,4.39281,0.596295,0.156165
380,8.16141,0.368955,0.0854
390,11.40592,0.99616,0.11437
400,2.00769,1.81737,0.197465
410,6.33306,1.383285,0.15342
420,7.281,1.826365,0.22987
430,8.29411,1.5899,0.111535
440,1.65736,1.79127,0.133675
450,10.61957,1.745125,0.07395
460,13.60802,1.23954,0.15624
470,11.20605,1.0151,0.05613
480,8.369865,2.590575,0.158685
490,11.14871,2.07739,0.17306
500,18.35329,2.00412,0.12847
510,10.98982,2.29721,0.11416
520,18.83137,2.611885,0.1808
530,10.16189,1.9106,0.1961
540,5.92815,1.553935,0.08945
550,15.32249,2.727745,0.10018
560,15.68921,2.68463,0.209435
570,30.74929,3.80014,0.20202
580,35.71802,3.167665,0.38516
590,2.02706,3.08413,0.183695
600,11.6475,2.399525,0.44875
610,28.83335,4.47015,0.178495
620,23.32664,3.499155,0.19747
630,14.76455,4.52811,0.14685
640,23.06071,3.787265,0.2282
650,17.18366,3.821295,0.21677
660,29.96757,3.66513,0.277995
670,30.77135,4.45081,0.431865
680,48.78157,2.90635,0.32602
690,36.7978,4.02684,0.4823
700,42.98466,6.092555,0.693925
710,29.83538,4.56634,0.76274
720,25.32088,4.99485,0.23428
730,45.7365,5.035395,0.644005
740,33.29854,3.376055,0.705925
750,36.13227,4.496545,0.840045
760,31.15698,1.61181,0.81116
770,45.10228,5.947095,0.553285
780,58.6743,6.89505,0.73928
790,56.31348,5.364295,0.34751
800,47.92092,5.729075,0.726945
810,57.03032,6.382525,1.15208
820,46.77503,7.65993,0.620475
830,61.72725,5.887515,0.263605
840,67.92662,4.342725,0.61072
850,55.71825,8.86594,0.15176
860,72.1637,8.46599,0.91157
870,69.4792,7.05037,1.256725
880,72.9163,6.50177,0.730295
890,60.77481,7.340035,1.471235
900,74.13593,12.6603,1.464765
910,72.83282,5.98894,1.243755
920,76.80554,8.761125,1.704735
930,84.37,7.65315,1.16545
940,82.06724,8.44727,1.733775
950,83.6422,9.460685,1.610055
960,87.23369,9.735495,2.017235
970,89.31291,9.740345,1.606845
980,95.09528,9.896865,1.76966
990,130.5303,9.594165,1.23925
1000,112.4087,10.88787,0.97174
1010,105.2569,10.40382,0.91149
1020,100.2093,9.73923,1.7585
1030,117.7319,4.674285,1.805325
1040,113.0711,9.96844,1.87247
1050,120.9165,12.35834,1.776915
1060,136.2999,10.51696,1.707535
1070,119.9029,12.0043,1.622715
1080,162.4446,16.06532,2.992065
1090,109.7155,11.37141,1.83546
1100,136.5454,13.02091,1.423205
1110,90.87782,9.93035,2.148825
1120,169.4622,14.02866,2.16227
1130,142.4772,13.83506,2.307525
1140,108.053,13.20072,3.13382
1150,162.6938,2.34756,1.546915
1160,198.7694,13.24512,1.793245
1170,148.3729,15.16251,2.11184
1180,162.8896,14.1557,1.11061
1190,237.4274,16.56882,3.33996
1200,231.2551,10.91745,3.676615
1210,177.0795,13.20872,2.170155
1220,183.233,16.84907,1.691035
1230,179.0666,15.37219,1.891955
1240,204.9353,15.23281,3.81075
1250,181.6691,15.60888,3.2826
1260,193.8428,17.43997,2.69465
1270,238.0526,18.28251,2.476825
1280,235.9424,16.55704,2.04644
1290,311.4422,17.26047,2.216635
1300,236.7141,19.28157,2.5861
1310,243.7728,14.7184,1.324325
1320,144.7749,19.09198,2.277705
1330,73.60452,18.93776,2.447985
1340,300.3086,18.5853,2.82116
1350,202.76,23.08171,2.30506
1360,214.8343,21.54836,1.714785
1370,281.457,21.10468,2.94611
1380,279.3213,20.0199,1.83779
1390,289.533,2.08392,2.02746
1400,265.5176,20.47123,2.751085
1410,308.245,23.8778,2.96695
1420,300.2218,16.5712,3.279945
1430,400.7036,21.75566,2.74925
1440,296.1479,19.97363,2.667575
1450,403.3914,9.57863,3.29261
1460,303.7653,23.54212,3.003275
1470,281.8372,24.14924,3.086035
1480,314.5822,23.95334,2.05699
1490,352.0944,26.60341,2.45243
